# Monte Carlo Simulation Attempt
# kc_id_list: ['P_S1', 'S1_S2', 'S2_S3', 'S3_S4', 'S4_S5']
# num_iterations: 100
# misalignment_std_dev: 0.025
# Timestamp: 20250516_023908

Iteration,Panel ID,radial_distance,radial_extention,radial_shift,elevation_shift,yaw,pitch,roll
0,S1,10.852499527758571,0.010110563004115378,-0.003670221421030885,0.06842444452835261,-0.0005241977773895192,-0.03155709435290488,-0.0026169147215367094
0,S2,14.514067968698507,0.029947143495867662,0.010444110422602695,0.11845616264005966,0.0017684137360532088,-0.005110820792094017,0.014603004379263478
0,S3,19.42073646904257,0.022543815640357165,0.06856948106206995,0.1074970003263947,0.005465825967454603,-0.017698531625830904,-0.016217631687989068
0,S4,25.23350094616282,0.05865426058967987,0.07856224652982126,0.35839754560015613,0.006979014375341376,-0.014149006593471292,-0.025562359328074533
0,S5,30.70515586998379,0.15681570435354628,0.084316573760329,-0.045235262496303635,0.007684988460613048,-0.03268147118328568,-0.00704111003235436
1,S1,10.852499527758571,0.025090093488420753,0.008391563565602564,-0.12379289830085079,-0.0024138101532263584,0.04863250066398361,0.0007930940868081241
1,S2,14.514067968698507,0.018326830127782728,-0.01744037472996852,-0.32022406993486,-0.001257980130717972,0.04712824152807249,-0.002545671468902798
1,S3,19.42073646904257,0.005698408052536026,-0.03742335930319248,-0.3648758194574924,-0.003778377489937485,0.05547260370523044,0.017021454597967396
1,S4,25.23350094616282,-0.053314199134521616,-0.07374614746019545,-0.5339260736457502,-0.006240503682944522,0.04573263327586763,0.04445147324619477
1,S5,30.70515586998379,-0.09228257677070048,-0.060707775724856264,0.27256594475112456,-0.002481053547627673,0.0673162832778007,0.021341211629072526
2,S1,10.852499527758571,-0.0030251674481060523,0.020455143166647365,0.15146370675781795,-0.0021460585539947756,-0.05036739950703373,-0.001368488350127259
2,S2,14.514067968698507,-0.03466808757566322,-0.006487031139823694,0.1295503317349445,-0.002844263627503677,0.030294744100545445,0.05124465628704314
2,S3,19.42073646904257,-0.07563041165386003,-0.05953292061040761,-0.8555826627889518,0.0006514169131766195,0.041859738843115446,0.08409697643901722
2,S4,25.23350094616282,-0.05172442767975297,-0.05093520236104596,-1.4137141668734592,0.0010903159719494182,0.0457077653235376,0.07767559874994219
2,S5,30.70515586998379,-0.042965912066263504,-0.012793470670435292,-0.7865038558437314,-0.0023078378024729423,0.020793843418096536,0.10807221993178426
3,S1,10.852499527758571,0.010739598079438636,0.015184800993698157,-0.06537130719240729,0.0054559814688395335,0.025413051477143123,-0.0005503593866596755
3,S2,14.514067968698507,0.007352340955499328,0.006680432850710934,-0.29814158725702744,0.00043165074816158173,0.06864024424427129,0.028703827755847136
3,S3,19.42073646904257,-0.007879773561661616,-0.007444667843091763,-0.289714027487345,0.004897059111238876,0.04701957342300633,-0.020794412086944547
3,S4,25.23350094616282,0.0511428461724228,0.06889542049294882,-0.028859909238408213,0.00700521795666067,0.03317803028051758,0.033222775398484415
3,S5,30.70515586998379,0.06290530778947064,0.08648400859701512,-0.4130840200954447,0.005020735792760557,-0.0021772162958868524,0.06850234033505956
4,S1,10.852499527758571,0.013279867176657356,-0.016257289764201134,0.015029012940026315,-0.0006477904144556652,-0.00015028284098672628,0.003814083862335125
4,S2,14.514067968698507,0.04264684475153254,0.048483050485827274,0.27894347925078705,0.0025867246233180104,-0.08582647177429936,-0.05673756428441426
4,S3,19.42073646904257,-0.049084226391557496,0.11278726812044836,1.0108173798667393,0.003631425724127429,-0.0886005113699253,-0.058195554699617194
4,S4,25.23350094616282,-0.06058573751217519,0.021421483220103926,0.9082855474637661,0.0028934197827828233,-0.09426026167632551,-0.01820565133534123
4,S5,30.70515586998379,0.09102711779229378,0.0611470189078817,-1.3758160166312958,0.002656597112109497,-0.12053187190351977,0.0038257096451307293
5,S1,10.852499527758571,-0.028357395651073748,-0.008645855343862306,0.17384161902648712,-0.0016552357376969844,-0.07335573856024102,0.0035669997449469548
5,S2,14.514067968698507,-0.07688493986672153,-0.025631253835446483,0.5301394277232133,-0.004297909207384477,-0.11137263654197516,-0.02681405024475221
5,S3,19.42073646904257,-0.1234040992073321,-0.10445036281851923,0.7396929349625603,-0.00629475090259795,-0.11123520904812967,-0.0198188916184819
5,S4,25.23350094616282,-0.1478396059800469,-0.17853575141810693,0.823080505854375,-0.006570795508808069,-0.0985903924264262,-0.08732402600428939
5,S5,30.70515586998379,-0.13424424739001495,-0.10090215810531541,-0.3503873211420204,-0.003588041043701126,-0.11424759944758844,-0.07453503072507527
6,S1,10.852499527758571,-0.010778618804540558,0.021366548157529287,0.04343917039348856,0.003375266413673215,-0.0282672335283074,-0.0037199776343288505
6,S2,14.514067968698507,-0.030660370974178165,0.025200561391755034,0.22822044311760498,0.004612583033126696,-0.0550761635862147,-0.023576301900584126
6,S3,19.42073646904257,-0.029595989800121007,0.014481209345885274,0.646919371604288,0.003951836739248142,-0.06499755275554864,-0.048651709155011706
6,S4,25.23350094616282,-0.06894235470724022,0.026570688646702513,1.3617260694877333,0.004547547589440135,-0.046329499840367605,-0.1431072679141423
6,S5,30.70515586998379,-0.21599121907058216,-0.005389338931032623,2.0092570572750645,-0.00420553765846568,-0.00013318683886409666,-0.19598147100562963
7,S1,10.852499527758571,0.01116267691389079,0.011795800345936615,-0.044179531292202805,0.00012232444162902528,0.026313726571101537,0.002030664727611967
7,S2,14.514067968698507,-0.002596080244107419,0.02598129379873267,0.01107862743075172,0.003641181289543556,-0.025578868926760867,-0.03532784873216169
7,S3,19.42073646904257,0.03329067234782174,0.050993806686505466,0.18476677411355244,0.005921442511987136,-0.005866249571401916,0.005656734601240339
7,S4,25.23350094616282,0.09465525998041613,0.10634310334565657,-0.19253712525801064,0.005605123553831052,-0.008965575105136292,0.028689555595954805
7,S5,30.70515586998379,0.15243210136602633,0.10759453209191948,-0.728188616717335,0.009895641284872594,-0.023370154660163234,0.042902767539363486
8,S1,10.852499527758571,-0.0030277517864932737,0.04939236390701576,0.20828922411569456,0.0003856491062908707,-0.08810652925847906,0.005372955435555309
8,S2,14.514067968698507,-0.051479090023839914,0.04769313021028332,0.48500675045864616,0.000881773662424529,-0.06596829891446387,0.02319149273597628
8,S3,19.42073646904257,0.010732249474556527,0.0154065702629074,0.2343535216803116,0.008231636986077775,-0.07306064122738709,0.010002980767089737
8,S4,25.23350094616282,0.08711713428161334,0.10282224186361005,0.3907424164677208,0.01136719987650301,-0.053260356206369375,-0.08057478689458752
8,S5,30.70515586998379,0.14584603804992166,0.10360574177850537,0.2332133432244449,0.01076239481256109,-0.06336747360821415,-0.06428551512590153
9,S1,10.852499527758571,-0.0014023339394880173,0.017577593238693432,0.0192532053028963,-0.00027874017240106465,0.004182348422993254,0.001182569395862961
9,S2,14.514067968698507,-0.03949196721716671,-0.006056158759938271,-0.10935690761799417,-0.003598583083239572,0.038964421439147134,0.02779114414829815
9,S3,19.42073646904257,-0.08362400935758371,-0.09137407570058596,-0.7563792651098419,-0.002816771219197739,0.05586707414604852,0.07082965264491682
9,S4,25.23350094616282,-0.09858287626472818,-0.10228361692327533,-1.4254709042884022,-0.0021785759097967122,0.05255957790395249,0.11141918867085954
9,S5,30.70515586998379,-0.1204938923943432,-0.051333252744180144,-0.5672495101997937,-0.0005563245580358159,0.07377501243621176,0.08894750026243778
10,S1,10.852499527758571,0.05138930005307644,-0.021056297881082278,-0.06570693003894552,-0.004475860917556103,0.03893790040189704,-0.0008701214777548302
10,S2,14.514067968698507,0.062173019772606225,-0.006375711228530587,-0.24571148751636496,-0.008906949178854467,0.050357806372663294,0.0070190188553480755
10,S3,19.42073646904257,-0.12396436329657451,-0.08531385746387975,-0.8533849905535449,-0.008059560153992097,0.08512849943061584,0.08597661712411542
10,S4,25.23350094616282,-0.19765412220222586,-0.2281010703974866,-1.2472962808523849,-0.0075631779500472136,0.09321329497823294,0.033658745890283455
10,S5,30.70515586998379,-0.14344095212691466,-0.08995452975350537,0.6031314069614643,-0.006307876564166672,0.0655559864419859,0.05805160777838314
11,S1,10.852499527758571,-0.006987186320794184,0.0027062770717930455,0.07173745787583752,0.00011538386761820465,-0.02727650404223625,0.0025826308996457154
11,S2,14.514067968698507,-0.015174073774598036,0.02175241941844972,0.2281734659906973,-0.0004152646442128448,-0.043910387749400925,-0.007159143314502798
11,S3,19.42073646904257,-0.02619277789994738,-0.006138628534151596,0.32361580752096786,-0.000530367117293244,-0.0447941291226881,-0.009784568192530423
11,S4,25.23350094616282,-0.005308598640601212,0.047841414790495605,-0.277783167158229,-0.0009012543284027397,-0.06276312879361723,0.10072649793520322
11,S5,30.70515586998379,-0.08480122663138806,0.13951686241116054,-2.1063001714983445,-0.001525430938286651,-0.038551303118144586,0.07605691609822292
12,S1,10.852499527758571,0.018348427018234588,0.017390756464926115,-0.07939267255621958,-0.005753792895951363,0.040846717430732093,-4.616091690777015e-05
12,S2,14.514067968698507,0.014924431245060687,0.024240466262930093,-0.10117518132759692,-0.002810147211339072,-0.015225405563897842,-0.031835718026340776
12,S3,19.42073646904257,-0.0031577093804260083,0.004906522850955367,0.366123563286516,-0.0002749734081055784,-0.014884585215605872,-0.037037440678724165
12,S4,25.23350094616282,0.002995872586316119,-0.00893786200836863,0.7274102238018451,0.0028581076569721975,-0.008042708734967263,-0.059907616201931205
12,S5,30.70515586998379,-0.07396299234944309,0.020397011186735953,1.171364203941045,0.002231146818741238,0.02710279067456134,-0.09621992867899798
13,S1,10.852499527758571,0.02842112102556945,0.05031409078983562,0.03010843939806832,-0.0010059191784193636,-0.009461229351805045,0.0015404611325260335
13,S2,14.514067968698507,0.029742732613476566,0.09077130490254082,0.08774373997411436,0.000790499143744852,-0.02306094000800951,-0.007422510558177889
13,S3,19.42073646904257,-0.022760589140167528,0.06706209930616007,0.38196302371384216,-0.000971047364126898,-0.036308120266599575,-0.03978186361644357
13,S4,25.23350094616282,-0.07063690378559395,0.013655609717981031,0.8791823284072472,0.0025213097556893507,-0.03082273004418412,-0.07953655188426798
13,S5,30.70515586998379,-0.0062603490418616115,0.04065899647885228,0.5106251115839953,0.006746517250111189,-0.04356488212011711,-0.06130016565345778
14,S1,10.852499527758571,-0.011918728037705635,-0.008903515759542978,0.10189698395032566,-0.001171863839134432,-0.04321158893464605,-0.0001388772363883718
14,S2,14.514067968698507,-0.012740907070000739,-0.02047169154435446,0.2524485600822237,6.530140406765458e-05,-0.053732260224317985,-0.012788757214046166
14,S3,19.42073646904257,0.042880532495047204,0.0172033107291432,0.45668090790182325,0.0052274312005422905,-0.0563154318495136,-0.03282859249253403
14,S4,25.23350094616282,0.037284157652847275,0.06177223957308409,0.6824420257527029,0.003351702138596667,-0.055406176475829794,-0.04362333552010692
14,S5,30.70515586998379,0.0271699432749114,0.07360752089902821,0.2719922562638196,0.0033709187182741213,-0.01857864798808917,-0.08258135849012038
15,S1,10.852499527758571,-0.005507987950447999,-0.04575418415377838,-0.06081017296055652,-0.006351396466626913,0.03369566050900885,0.0028734035059295774
15,S2,14.514067968698507,-0.007687067784886968,-0.05131293481957631,-0.2340270202657827,-0.006511927030153849,0.0512081951216119,0.015836064424312186
15,S3,19.42073646904257,-0.06036319289566613,-0.00470064093313079,-0.700715228404478,-0.0027201624099502317,0.0698039666678687,0.06406315264321735
15,S4,25.23350094616282,-0.10350417119130732,-0.0402898925905527,-1.223229251540762,-0.0024158840393354447,0.06373689385957149,0.08631900503533278
15,S5,30.70515586998379,-0.08600605413754425,-0.021871345260747646,-0.038659069647430155,0.0008293433691608926,0.08685980167807217,0.0638764375252596
16,S1,10.852499527758571,0.032544950196590136,0.00935847587501273,-0.09890041245284281,-0.0010355109043933967,0.037963505953140686,8.422159375848833e-05
16,S2,14.514067968698507,0.0083936173546589,-0.003997696720145355,-0.07772510484274789,-0.0034204442885530408,-0.012385806858007609,-0.03513993514418384
16,S3,19.42073646904257,-0.0270109201029025,-0.03639790399760379,0.371807939446966,-0.004381350035458403,-0.006896675300718247,-0.03153973105596551
16,S4,25.23350094616282,-0.028213234753769252,-0.028456403265961574,0.38231612451644514,-0.004351984886875262,-0.012089580205143058,0.006677060947316628
16,S5,30.70515586998379,-0.07229396212259254,-0.0066835594830630535,-0.22987820033363487,-0.002554644730036152,-0.014661598940292508,0.005741264370269914
17,S1,10.852499527758571,0.0036313618957159524,0.025436692358527645,-0.06152271800796255,0.0038393172364733063,0.018269735284730526,-0.0031291073425686695
17,S2,14.514067968698507,-0.026981701199486157,0.013416192632784598,0.09076919017875099,0.003841077477237175,-0.05914002434704835,-0.056123274062793674
17,S3,19.42073646904257,-0.0167406587757761,-0.017575863145562205,0.800167524431697,0.0010102802774840242,-0.0552378077304958,-0.05182661851680963
17,S4,25.23350094616282,0.04415870451285754,0.04781403790357257,0.3833225575647229,0.0012684375313125988,-0.0766729580770702,0.05876991869118771
17,S5,30.70515586998379,0.05390775456170904,0.18755695920948384,-1.9949138285937251,0.0026358999038590854,-0.07998507063999405,0.057768485875800996
18,S1,10.852499527758571,-0.011865108842342077,-0.04015805593117124,-0.02535998695488892,-0.005806882073212253,0.008551778992663683,-0.00032292447770234474
18,S2,14.514067968698507,-0.03984599014987201,-0.05575202879560422,-0.4397613177849228,0.00047631552800983523,0.14119196879549367,0.09131353783260485
18,S3,19.42073646904257,-0.1587062617662696,-0.06089044255601578,-1.6230808434741906,0.002317272528028713,0.14100013644201548,0.09750455027381778
18,S4,25.23350094616282,-0.23733109824604248,-0.1618508639002202,-2.054273998265212,0.0005921036822778558,0.13592411240552393,0.14603115111984583
18,S5,30.70515586998379,-0.10136253535103484,-0.1195705282715071,0.24508531257987254,0.0052271108481753495,0.16381240319599666,0.11304528663355584
19,S1,10.852499527758571,0.021250808833136448,-0.012943025414912553,-0.0653544368431491,-0.005555735541921206,0.01832778464650109,-0.0013098356506837305
19,S2,14.514067968698507,0.011021376458574149,-0.050547537838635644,-0.24240842264348167,-0.008268566758457418,0.05967955124120561,0.023124845523152353
19,S3,19.42073646904257,-0.03794537644874399,-0.11830624627604372,-0.4866782670490152,-0.012202513838271043,0.0613898584190522,0.01908686926629291
19,S4,25.23350094616282,-0.07670954510996532,-0.1841495527673963,-0.4623456284258932,-0.013182857849319439,0.05735608531135661,0.03022701385692693
19,S5,30.70515586998379,-0.2313808391178493,-0.17489309718782944,0.5560292298532118,-0.014767484556052105,0.06764671970395719,0.018212468602028166
20,S1,10.852499527758571,-0.017845107809102714,-0.010641233259898627,0.052270049095433396,0.0015472860948981754,-0.0062038699279745035,0.004509805519139515
20,S2,14.514067968698507,-0.020158629522781076,-0.02730055162870511,0.11202550687800647,-0.0012773264257551588,-0.018312243908737758,-0.0034303417514725846
20,S3,19.42073646904257,-0.08425130643443123,-0.04167712026136829,0.40327869330111565,-0.004008316851674781,-0.03571013502562037,-0.04482561008546873
20,S4,25.23350094616282,-0.07708539612126458,-0.07035633536476844,0.777077619712318,-0.0021404607402761046,-0.03975286282086987,-0.04905570531593459
20,S5,30.70515586998379,0.0006901327282000636,-0.021270474315937222,-0.07956230782587169,-0.0019294550562651974,-0.06022352236171802,-0.03364869865974839
21,S1,10.852499527758571,0.035880601783916194,-0.021728390487900786,-0.02644203471399816,0.0018146896876732807,0.01700894162387656,0.0028229624160403047
21,S2,14.514067968698507,0.019263620129310502,-0.014461994963395904,-0.3856539255758058,0.0024917710400886514,0.12786146726515013,0.08057418591431806
21,S3,19.42073646904257,-0.12963773518567198,-0.031911491712963806,-1.5245123866421382,0.003587248997294068,0.13743583590113007,0.10113936068791382
21,S4,25.23350094616282,-0.19632527144540451,-0.09252580452239367,-1.8618376190545598,0.001452734618715805,0.13764604817060855,0.1039930770974434
21,S5,30.70515586998379,-0.09733087166229774,-0.075463999931027,0.3982070378742937,-0.0021304250414447,0.12218306076783048,0.11404254880719579
22,S1,10.852499527758571,0.012274765196959922,0.017535073039686617,-0.011990597413599827,-9.02683807993958e-05,0.006538362017236121,0.0003988112303053937
22,S2,14.514067968698507,0.0023861204378547644,0.009691916287288818,-0.03877170191862774,-0.004471473625793436,-0.0010860348518326735,-0.004197716382582336
22,S3,19.42073646904257,-0.005692273170921514,-0.038965212162913695,-0.2806255884648489,-0.004369856566261772,0.014368339701049004,0.03693048152825025
22,S4,25.23350094616282,-0.06664482821980834,0.0017112697759017644,-1.2654147195580028,-0.006200327836908756,-0.007621648431627159,0.1589441111070924
22,S5,30.70515586998379,-0.4636780651480088,0.01693798107010796,-3.158894265108077,-0.020041384109561397,-0.06970369895662687,0.22153244286434937
23,S1,10.852499527758571,0.012691203723910388,0.019991335387959393,0.0964681289235119,0.003898381720996014,-0.0370875398693753,0.002155534214013705
23,S2,14.514067968698507,-0.015986136401413383,0.007681826207189135,0.23750365747750324,0.0021972334093992778,-0.040942616278693444,-0.002591602025885774
23,S3,19.42073646904257,-0.029833990668865856,-0.03378604355328715,0.39724096590705016,0.002818171057263485,-0.05462369354953922,-0.023909127712396623
23,S4,25.23350094616282,0.01763569386786182,0.007167539116191315,0.5693822757819453,0.004521795200978739,-0.05295262186260441,-0.04180896677849075
23,S5,30.70515586998379,0.10524038271611882,0.08330951329473205,-0.34933429042726893,0.003861323864193182,-0.07149043761474028,-0.02968106836420529
24,S1,10.852499527758571,-0.007367017282284439,-0.02448819554805637,0.027619889141858575,-0.0004951565993831299,-0.009317364208637935,1.0689709207239707e-05
24,S2,14.514067968698507,0.005729503141612232,-0.014175163960648619,0.07543908220083066,-0.0007752845957242358,-0.018448556997945786,-0.006895091841474686
24,S3,19.42073646904257,0.020997856946759486,0.0068344633546609775,0.0630273803562087,0.0007389817146270091,-0.011009539435828053,0.005835368927963239
24,S4,25.23350094616282,0.040620983497371956,-0.027703088016420307,-0.10024060607293503,0.001037085032121383,-0.012315092489770807,0.016291807194996077
24,S5,30.70515586998379,0.04629429559239545,0.017035961595817075,-0.6002315018197074,0.0012577960329830662,-0.02744904505172774,0.03295984137232909
25,S1,10.852499527758571,-0.036263775228473356,0.02302391412951782,0.1580478331725916,-0.0027746137736227327,-0.08089232308251981,-0.0075684469243034146
25,S2,14.514067968698507,-0.047379208199213305,0.0121222978902795,0.5629841077019486,-0.003071740751981838,-0.11043554681703815,-0.030696025842306126
25,S3,19.42073646904257,-0.11095957779190549,-0.05180102908776926,0.9031603463536209,-0.007513592414297748,-0.11778296186969595,-0.04083261340658543
25,S4,25.23350094616282,-0.18489410377043472,-0.16293177234968656,1.1068260152808282,-0.006043905709801435,-0.10824329204555116,-0.09779469339783947
25,S5,30.70515586998379,-0.19099365758063813,-0.13426406034314223,-0.24468922412217858,-0.0031888512765147203,-0.11322418727052175,-0.09503242997303185
26,S1,10.852499527758571,-0.0366622365435373,-0.009235765342569747,0.031099125992105563,-0.002492054918799963,-0.010353422344979046,0.004094025806358588
26,S2,14.514067968698507,-0.06069939753595778,-0.03754594786786142,0.21296440620267124,-0.0008330999483129563,-0.058296324350124884,-0.026522705426073108
26,S3,19.42073646904257,-0.06574014182199325,0.011751651238018801,0.9997498766426997,-0.00040869895226570974,-0.08443286596516586,-0.09240593324793824
26,S4,25.23350094616282,-0.1454837986370514,-0.0049186158378558,1.7230714458157226,0.0016520136171947683,-0.07897527990145847,-0.11103080682826752
26,S5,30.70515586998379,-0.12842189783244762,-0.0699364975375888,0.8341207244469268,-0.0021338584548464823,-0.046671887014184676,-0.1441585164376542
27,S1,10.852499527758571,0.01790866228602338,-0.004643328736151139,-0.05006824911646131,-0.009312905320882275,0.0243430849331987,-0.004202221326956979
27,S2,14.514067968698507,-0.020390281084012026,-0.027949497529978266,-0.125992808676396,-0.008806226768333498,0.02485120630623272,-0.001968017500852157
27,S3,19.42073646904257,-0.04416101714410138,-0.057390338452072476,-0.21138493878642423,-0.005643412434392667,0.03401974921194295,0.014558501860853428
27,S4,25.23350094616282,-0.06648988466918146,-0.03869626557928503,-0.25586542669553963,-0.0023735174287661917,0.03559814847278919,0.006246004060684087
27,S5,30.70515586998379,-0.08931316315240181,-0.015591776362303612,-0.07671176380316255,-0.00161995723510025,-0.005154536588355185,0.04717778390315161
