# Monte Carlo Simulation Attempt
# kc_id_list: ['P_S1', 'S1_S2', 'S2_S3', 'S3_S4', 'S4_S5']
# num_iterations: 100
# misalignment_std_dev: 0.025
# Timestamp: 20250516_023908

Category,,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_origin_final_pos,kc_origin_final_pos,kc_origin_final_pos,kc_norm_final_pos,kc_norm_final_pos,kc_norm_final_pos,panel_cm_final_pos,panel_cm_final_pos,panel_cm_final_pos,net_rotation,net_rotation,net_rotation
Subcategory,,1,2,3,4,5,6,x,y,z,x,y,z,x,y,z,x,y,z
Iteration,Panel ID,,,,,,,,,,,,,,,,,,
0,P,,,,,,,,,,,,,-7.99,0.0,0.0,0.0,0.0,0.0
0,S1,0.014243402279365231,0.0070458250036755515,-0.002303623970643856,0.0335887929624314,-0.012572481689267535,-0.012813683650795344,0.01070026286826878,-0.00027960912577757667,-0.010270484402490234,3.8867689370228873,-0.0023114358958826,0.11208761674834831,2.6756235779935036,2.059316669920798,0.06842444452835261,-0.0026249685660816474,-0.03155638984384866,-0.0005654450881213017
0,S2,0.017314970031819706,0.011208237232203044,-0.012538657788953753,-0.002572226190620621,0.003991299627957211,0.029515804833013595,4.069418329589787,0.16050463908247922,0.11161207852275697,8.060249131974864,-2.485159193364726,0.09324383377109338,6.552119175024421,-0.2350628906652932,0.11845616264005966,0.01460748780975452,-0.005097816616582027,0.0018056951302143237
0,S3,0.013781514765205453,0.0034496811307884374,-0.021956812775921417,-0.025754329357431067,-0.019418515768932568,-0.02949194805762529,5.718379400033478,-3.5018155567875993,-0.045447418577638767,10.566613717809867,-14.87898624056136,0.22424913722952447,9.121574570272067,-9.232543838427802,0.1074970003263947,-0.016168799431591878,-0.017742418707390645,0.005322049370236143
0,S4,0.015046183461577609,0.03820700308382469,0.0017861617486766024,0.014997782212062605,0.0021967082299373954,0.02447911461442132,10.851098598645208,-15.758211263196488,0.29786297221747315,8.373746163607542,-28.51964662027762,0.5874152812268425,7.375039059135369,-20.090168285514235,0.35839754560015613,-0.02551245605298333,-0.014237375749439384,0.006797676940431612
0,S5,0.01813065630211058,0.005692910255895613,0.01692351609357017,-0.0014412148021325977,0.010949819678155955,0.007305910017521244,2.1795773710172175,-24.29125504699654,0.10760622138976456,-9.672712092013334,-36.58639940715253,-0.19698472965710717,-3.7915276057445495,-30.575173397619373,-0.045235262496303635,-0.006914870308470131,-0.03270822591314837,0.007569215775624509
1,S1,-0.003876123556255651,-0.003608476461799233,0.022849254684247162,0.010066781106426104,0.0402938885122316,0.01632687342931081,0.02114418568481979,0.019435749613488113,0.004128999053046961,3.894547837382224,0.010086070392898511,-0.18439350495027168,2.6880398474536555,2.0740037133021905,-0.12379289830085079,0.000851632194208735,0.04863151768779352,-0.0024326193363817853
1,S2,0.016885616789632723,0.02108253802760788,-0.011685781065834183,0.026182830352795724,0.023593396774281176,-2.0762664198901898e-05,4.061242842163114,0.14037003691750838,-0.20431220716031828,8.039794676591743,-2.517628407775481,-0.3853496860818015,6.540029822346836,-0.26274724991078485,-0.32022406993486,-0.0025155567436985966,0.04712981046894488,-0.001197760094653688
1,S3,-0.009576747509548667,-0.01269361221346414,0.012470573383727398,0.010714902688163153,0.025236280004406288,-0.0002637295874326326,5.7144818531360855,-3.5557617422791306,-0.08008913524617427,10.443230875806371,-14.977058079566195,-0.5394883695380087,9.056119207426415,-9.317595854513486,-0.3648758194574924,0.01712186743597729,0.05543905796930531,-0.0042494295941036325
1,S4,0.02727099209707023,-0.03986273660706108,0.033441469490907705,0.005219579425999241,0.027300618533909606,0.010289285188185782,10.722910760098387,-15.810414460975212,-0.5028849598382541,8.058267340377059,-28.529440988931498,-0.9516472876691342,7.186026427537451,-20.093169610098098,-0.5339260736457502,0.044586278191411456,0.045586302186535275,-0.007254830480025994
1,S5,-0.0042662071525082345,0.016138859487972484,-0.028126228891026256,-0.023704592470037325,-0.014280891968510873,-0.013398996977200865,2.063301994506975,-24.126002183143633,0.0003755236365901547,-9.90738555757601,-36.297560724530356,0.5443591667742791,-3.9684700177978134,-30.34763571190681,0.27256594475112456,0.021416648672629112,0.06728723906615981,-0.0031983280535296346
2,S1,0.014168245216061408,-0.02597581356161647,0.021154945023860016,0.0035270036091832667,-0.029104788574383096,-0.06278447225685582,-0.008033970775197056,0.025227348931087343,0.02010821041781923,3.8650391496824024,0.016915494470409742,0.21535041042657643,2.6581452464903825,2.080508379593895,0.15146370675781795,-0.001422244200344511,-0.050365904506179726,-0.002180068109617882
2,S2,-0.04400148531869408,-0.02685306633252107,-0.01117586401814526,-0.005349406814304437,0.035547953626341076,0.0023102589762879055,4.008133070681885,0.15562684101508606,0.22520987674472606,7.980635876054572,-2.505200105403075,-0.03135672770943029,6.487227349726092,-0.25090090349788846,0.1295503317349445,0.051283785221749034,0.03021522812679057,-0.003619645681868551
2,S3,0.005183111776243791,0.014129965321316499,-0.0019545325630082994,-0.025859335048579582,-0.0120784405130509,0.04930766999863162,5.619549336081974,-3.5706510657713504,-0.2318244009304526,10.372665738811595,-14.932251180297104,-1.389430681023561,8.974113600380376,-9.298146175106266,-0.8555826627889518,0.0840710563178749,0.04186244571857136,-0.0011092006458040457
