# Monte Carlo Simulation Attempt
# kc_id_list: ['P_S1', 'S1_S2', 'S2_S3', 'S3_S4', 'S4_S5']
# num_iterations: 100
# misalignment_std_dev: 0.025
# Timestamp: 20250516_023903

Category,,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_misalignment,kc_origin_final_pos,kc_origin_final_pos,kc_origin_final_pos,kc_norm_final_pos,kc_norm_final_pos,kc_norm_final_pos,panel_cm_final_pos,panel_cm_final_pos,panel_cm_final_pos,net_rotation,net_rotation,net_rotation
Subcategory,,1,2,3,4,5,6,x,y,z,x,y,z,x,y,z,x,y,z
Iteration,Panel ID,,,,,,,,,,,,,,,,,,
1,S5,0.021174817202230994,0.026133109447667682,-0.033701104202916846,-0.04119981886972453,0.001607850795630135,0.021272101613152166,2.262387120314343,-24.31869667908471,-0.04213760367945412,-9.563801730945123,-36.6416990447897,-0.20020704783424226,-3.69533330347726,-30.61664890762194,-0.12244998752743219,0.007545116260836449,-0.005512861542757154,0.010060218061310106
2,S1,0.04862869044915276,-0.020229566544742863,-0.026559383509373882,0.03226236964747694,-0.012896566758331228,0.004551962544895391,0.012056916631915474,-0.04156023749755936,0.03079335360970041,3.890031475077365,-0.0362575689735362,0.01778544231122207,2.674200034711171,2.0230721236123723,0.015521408059489226,-0.003074985564406464,0.0033521858312293095,0.0013725310925978519
2,S2,-0.02302568795837974,-0.009288416248067711,0.005031169000181933,-0.005626311880485105,0.008206752903468013,-0.010905185699346669,4.046263783008902,0.13165538092419307,0.007785001096783045,8.031803622705862,-2.5219851203222508,0.024194642556910763,6.528194174478049,-0.2687623313285572,0.011129790489984203,-0.005489947342085892,-0.00046239785331967363,-0.00017199780024844145
2,S3,0.0018319399757352679,-0.033262689376210436,0.016372340279617027,0.03009363731494062,0.006784468103369018,-0.05135271431983153,5.68198964191151,-3.5281106131441513,0.021086110757271057,10.41954703509657,-14.953056838687914,0.2315111323466953,9.029536500800452,-9.29252677961109,0.129770457916255,-0.017320672878945044,-0.0026668440279914146,-0.004569488470383407
2,S4,-0.01974390874012461,0.03037829232609351,0.008025068923249081,0.012593204068072234,0.030106930284645218,0.03512458804008162,10.713551053800416,-15.822475433018829,0.20231124062581193,8.087577674019316,-28.555863594254454,0.40340262280178846,7.1869734846483535,-20.113421863908194,0.261770268463272,-0.01643141490271407,-0.0031848124401951286,-0.004995923590410581
2,S5,-0.03770173651450732,-0.016248390474897453,0.01691962937607682,-0.00043021570386522605,-0.015560525646046097,0.0012819460843201702,2.0956039171850835,-24.158642991159116,0.07783687543007986,-9.874225489285417,-36.342752109142765,0.18168763884384437,-3.9355326014020906,-30.386613891568278,0.13127616641405068,-0.0125190478874983,-0.004081025128387201,-0.0016087517737806605
3,S1,0.012137340824799258,0.035073317384282286,0.0012389186238132054,0.04577158397582718,-0.0371156129882266,0.005848340852466819,0.03331221086955782,-0.03142830302199094,0.010448714214940225,3.9111617501206615,-0.031224787882824057,-0.023711343038945044,2.6981837723039,2.0296899532387873,-0.0035903301618559307,0.004578334245579639,0.008808897696119002,3.231506414178354e-05
3,S2,-0.019476226424812185,0.018642817902134946,-0.015943257242656366,-0.01691521570016247,-0.030944382020498252,0.06260840146365075,4.063673083701707,0.13100031501470516,-0.022316961177791608,8.05234705471921,-2.5142717780473083,-0.16239017986995471,6.545587826435304,-0.26440715078478966,-0.08616166175386436,0.01865579660692468,0.022732302479629506,0.001610287673761372
3,S3,-0.0017293955475260966,0.01331211431903582,-0.002663554062641415,0.01573219267036473,0.023658198027656497,0.03602360886016832,5.681259897399473,-3.533884993118987,-0.12150942657498674,10.484275343119858,-14.927982509534015,-0.4732329182502929,9.06152969640659,-9.276687200656038,-0.32244446838696683,0.020485485122820505,0.024636267395702897,0.0015217187171636425
3,S4,0.012565271918758933,0.004377928783291892,-0.002732159013859027,0.041007802790146756,-0.02461487580991241,0.030943269143124636,10.753254239046843,-15.796574329540748,-0.37777800887413765,8.19288919541406,-28.53990154052749,-0.7348360392672073,7.24939487824598,-20.106011394353693,-0.4427992680481787,0.03225193156196627,0.0211068333602493,0.0004239038671840086
3,S5,0.02453030365402513,0.00358663512089257,-0.014738374245849319,-1.2454629486445227e-05,-0.011492291943672241,-0.03512306891529468,2.0833944247114173,-24.20517164859266,-0.059361877811929656,-9.886147897106024,-36.38986104487101,-0.1186655239319039,-3.947620341875183,-30.43340527073143,-0.09179385700805316,0.02869109133600971,0.024295816761714932,-0.0015433056243690383
4,S1,-0.022163315045125177,0.013640234930208772,0.013028334056161757,0.03815554528807797,-0.005391841472745278,0.01880182172823022,0.015082870212946126,-0.017709129244387025,-0.0099625457526824,3.8930098252144467,-0.03171321268762884,-0.02920877446655442,2.6875023066507926,2.0336464284695337,-0.017755593002096264,0.002645160959693858,0.004958178604904209,-0.003617745778824801
4,S2,0.03309009594953118,-0.009488934331442985,-0.010856128332293914,-0.04316368518765797,0.001972390771955142,-0.01197821541300167,4.05947255359766,0.14768388677760924,-0.015489202380637945,8.045948204046681,-2.5045431096848514,-0.03306326317408656,6.541524478936648,-0.25183484649162957,-0.026759592257243975,-0.0002619425329277364,0.004582983498995885,0.00019449513769059229
4,S3,-0.0020352834309744837,0.010689671449605077,-0.01528619114607838,0.04769439995958849,-0.0059663220730185275,-0.024462277911185364,5.6641766604201464,-3.537328501973211,0.00614884567170292,10.44111635624159,-14.947774846917863,0.03234715906333511,9.03158943486442,-9.29117774754694,0.017376744859498316,-0.00316316418681938,0.0020667470179575507,-0.0011472368020092147
4,S4,-0.05626772736500353,0.019865215981791987,-0.017067381458441475,0.006286575088290056,0.037811646142069506,0.02236555755925471,10.719576262878016,-15.798939890970681,-0.018944470369177943,8.128947158967096,-28.54076049527246,0.08103819693100317,7.204910855624995,-20.09988422648926,0.019925798855834155,-0.007454446074314394,0.0019313962759338024,-0.002253880389311906
4,S5,-0.029519958241930978,0.022271627400532477,-0.029487223318600254,0.009502548473744732,0.0011857292494107522,-0.04457687740672539,2.080218310951157,-24.127622554583866,0.01443252066449955,-9.903521257766878,-36.2955224757467,0.28334413757081406,-3.958032183838649,-30.347426508966716,0.15101484460917897,-0.012245700019833418,0.010000973004454568,-0.002879014897666241
5,S1,-0.028166718434766837,0.0032606015090462536,0.04318506379722644,-0.04060523980959033,-0.006530191898212955,0.0429308342659643,-0.007893536567638495,0.05927454080872019,-0.007846139574288254,3.86990677788093,0.0529005419324564,-0.0466803178314527,2.660407863659838,2.1158851190184325,-0.029446304851470994,0.0024765868820891164,0.010012102084909926,-0.0016560583728486037
5,S2,0.03384412241228956,-0.016889087442440144,0.001647582201988294,0.0030113374969841663,0.06672783401289521,-0.008252149692492576,4.037923092550577,0.20277828302298156,-0.06341762702807466,8.021428469117943,-2.4539126912836,-0.04659556125609385,6.519537927805119,-0.19959314655928023,-0.06642463559172966,-0.010767276941239731,0.0029521447743083022,-0.0009489922978774978
5,S3,0.00420067108325278,0.003911956643901211,-0.029543699999014978,-0.018635936400302436,-0.0308879497068635,0.018731090399718955,5.684823356830183,-3.5279642606597337,0.034801790522708306,10.500212480836979,-14.922256621973474,0.018859102405790022,9.071611101291893,-9.270427985158175,0.022345997354037025,-0.0005420412626701205,0.004606108353254276,0.002230401228506645
5,S4,-0.01742747312142494,-0.007215267826214135,-0.015184665116780661,-0.01107648836008077,0.02206836525974274,-0.021783570016891466,10.79736979475031,-15.742145927477896,-0.016041416385919965,8.26555500367845,-28.495358702910494,0.12826994232374397,7.30265202610854,-20.05894879064846,0.05227225766195753,-0.009841526650636603,0.0073909398572980615,0.00232549849737335
5,S5,0.018032148426996804,0.017858299998873922,-0.0006082016488421008,-0.001875380763315334,-0.0206796667758575,0.011923301063610054,2.138179414553006,-24.203143559386515,0.14267184454248663,-9.805804235167567,-36.4126533946139,0.2387975887190585,-3.8797459974424493,-30.443918900249837,0.19147635797766177,-0.00417535976273251,0.003779854844791598,0.00047798646082841337
6,S1,-0.024695645465778918,-0.053277965515860226,0.010606782485117944,0.013844291782114227,0.009298512346270695,-0.01251459042941962,-0.018923074328531415,-0.002158003002492235,0.005456119991593007,3.8589633015754186,-0.026224455499429353,0.022836034915057094,2.658812672916579,2.04225684554083,0.012178841260448187,-0.00254712397023462,-0.0044738072982429735,-0.006211657879666101
6,S2,-0.028219402467513616,-0.005136146319675211,-0.003286409944373311,0.02119601135430621,0.03305609713862826,0.023469528671474605,4.007839537468343,0.11642871378345662,-0.001553975212190098,7.970456643237023,-2.571181620901405,0.030404778902681333,6.486217869529207,-0.30518200997981504,0.012911182202242615,-0.004363464389970275,-0.005109479879313639,-0.008725973296676513
6,S3,0.0016736927720311702,0.019442705878083957,0.015184954705362463,-0.008922218342443928,0.00994794434375724,-0.007971737848373019,5.668122562895816,-3.560127275421305,-0.011376386314380834,10.36760496976765,-15.002110485541657,0.10698884010837868,8.996435572761428,-9.336314485052574,0.054728285619287505,-0.0075894441161909725,-0.0066738421599990706,-0.007889127150878196
6,S4,-0.008191054173588964,-0.00898930992656837,0.023997427538694122,-0.011075238104587623,-0.030279159192981787,-0.0038739290135493872,10.728781849288662,-15.827300605473681,0.13121271638722173,8.05003275866287,-28.551273063824475,0.1444863218494972,7.184548408720357,-20.104039108410355,0.11064341264717598,-0.002992880137688325,-0.009481040406033573,-0.00916178664033273
6,S5,0.03571162191108545,9.603095813982214e-05,0.023370226385887573,-0.026949674788826247,-0.008198530824066626,-0.008126883381946271,2.0900512898592467,-24.150041516515273,-0.024821130209378987,-9.99370944204072,-36.22136567494334,-0.10212337043072398,-3.999329624321323,-30.32118679234219,-0.0634354624261871,-0.003812821527333901,-0.010283818581011154,-0.011052829572106598
7,S1,0.037598790216038194,-0.03355881200015251,-0.030154013478957516,0.04113587102541571,0.014968642287304108,-0.014183260889998803,0.005311020966712028,-0.050317573978342946,0.01767369038636962,3.8832388192162544,-0.051819323045637404,0.04129013197263154,2.6711298663854826,2.009617859657848,0.022352649695229283,-0.0056056100366055,-0.006088787303270337,-0.00040431855391043404
7,S2,0.004201090212642192,-0.014705920363403397,0.006066476043551109,0.011255377710975296,0.025068471365928824,0.04915572150654382,4.045326229827839,0.0987198288262012,0.03558301989939934,8.02656655485501,-2.56141328817773,0.04030257459097766,6.526603817762378,-0.305732999912416,0.03372804305726111,-0.0038277538267396526,0.001367885405483181,-0.0017928762349330933
7,S3,0.02858023181947697,0.04388011947338287,0.03310842356183721,-0.0025689596282705016,-0.02851418464038303,-0.018953423380913187,5.72579528154934,-3.5631546555319344,0.014921974729720774,10.522503480716832,-14.965329159735454,0.026412306781561666,9.103176895471398,-9.311165374942002,0.021418395914678184,-0.0006992305617719559,-0.0007336395231801158,0.0005886229597828665
7,S4,-0.04272435735226571,-0.01752863088352978,0.012723025803921404,-0.013722649965210477,-0.028361735704062776,-0.0012588248234117567,10.84922472094281,-15.78526730933838,0.02646411301337183,8.262267235080735,-28.528115335510872,-0.02666919305820222,7.335819650847618,-20.08731489966417,-0.003155880259523333,0.003275662801229836,-0.004421649843533481,-0.001967363600113918
7,S5,0.04358871415182686,0.027110423355055747,-0.029712984900814823,0.015239809746513323,-0.0038092687157020282,-0.006503148389905668,2.094577315387132,-24.150166117153418,-0.052965977110097935,-9.928885460914225,-36.281510227192214,-0.13632634372715258,-3.9639751749944296,-30.35155658064773,-0.09519204220168642,0.002514124184652298,-0.004402275591525684,-0.006052586067015814
8,S1,-0.029129718339585442,-0.0042711254265195495,0.0487640605750848,0.006364195015080546,0.015631431079836607,-0.005172087422091413,0.0076818001192127516,0.03006541386813405,-0.016604555349710677,3.8855922777928913,0.0092232603010272,-0.00048215529903916643,2.683695704341176,2.076712691956155,-0.005180742255030894,0.00015590303021374092,-0.004157851669784455,-0.005374176669517947
8,S2,-0.03198537629267987,-0.006523751043006717,-0.03976975243623446,0.024546399254708764,-0.02912261063762643,0.0532613347258738,4.007263528207396,0.13627279098982825,0.005601484627498537,7.975765440210168,-2.542008430081031,-0.060785828087662995,6.486520668521129,-0.2795926861585938,-0.020165492678523626,0.01246472559509894,0.008337255893760854,-0.006460343959680864
8,S3,-0.008808707231736403,-0.01681106104943963,-0.022807156583194835,-0.004351188928710353,0.02075198769602403,-0.012303054413409766,5.610512918677604,-3.556947092847136,-0.06156952462045082,10.327720248773577,-14.991819617271505,-0.16041463099123363,8.947765641197144,-9.328068600048354,-0.11881299722174918,0.005446691409527058,0.007708503951777679,-0.006340745692220698
8,S4,0.024887995921983447,-0.010161480555460246,0.01700623450556697,0.00637323102887994,0.05346816468128558,0.026557012243433206,10.689194799077317,-15.816007224732589,-0.12741328295534196,8.042020369334463,-28.54659210141878,-0.13233629061901866,7.155689587070268,-20.10153690321685,-0.0945150831623155,0.0030620996196430595,0.013086936427388248,-0.006683308148941405
8,S5,0.0039461008157629695,-0.0037529015753514625,-0.013966033701714465,0.04606192318667968,0.006144135179066482,-0.04033157835977881,2.035981361970868,-24.127947285884346,0.07374982644720185,-9.973460242679025,-36.27026012572081,0.3524382618847854,-4.015418831968845,-30.334864332455087,0.21453856809910496,-0.004127549958159689,0.019068364244203453,-0.005101113828933033
9,S1,0.027363468560803107,-0.007927188550121488,-0.03900143622040972,0.05073487309979079,0.03395716417047091,0.012172812714641337,0.011020159090313984,-0.06337803382202044,-0.004501450607403441,3.8889788392517626,-0.06147476881087811,0.013298901714169798,2.675028100205025,1.9989033278669361,-0.0026917798906351317,-0.005056148419315195,-0.004591332965770371,0.0004791817598767474
9,S2,-0.01969853515710231,-0.01679713523199728,-0.013394840597635996,-0.03961220714443434,0.05223728989837045,-0.03809194878067462,4.034968602006037,0.12646129218215302,-0.014125741855695751,8.023351315701305,-2.5201241564881403,0.10832339853916308,6.517006065644219,-0.26975858580593143,0.039014049107825396,-0.018446218835165697,-0.018449959829853983,0.0013254504856523095
9,S3,0.021173576082039135,-0.017319026386268848,-0.006425940712378158,-0.036545538497744806,-0.023139527163681093,-0.027494862111787297,5.696849830027023,-3.4745474371223475,0.09622149869945336,10.52924014105445,-14.857427792527183,0.40632421785378675,9.092050400953113,-9.209415101301886,0.2702386171995501,-0.01941579733584612,-0.018469697851928937,0.003971538345537092
9,S4,0.01390485318186221,-0.01995792935607339,-0.008058512968685325,-0.016217560976073395,-0.02736312341358177,-0.015383258947627518,10.848611307765445,-15.727090235265981,0.382663287862912,8.346126719196453,-28.485822568197513,0.5490007177523891,7.364244306990489,-20.05278787338512,0.38836832783358355,-0.016851332385329498,-0.019185817805127996,0.004791497598314501
9,S5,0.00984210831153816,-0.018681186496434347,0.019298266078743485,-0.014478446595537096,0.038418089178583005,-0.015112052331708077,2.191150577087881,-24.24039538122178,-0.00652295308763262,-9.69538025078974,-36.50513879654957,0.15647960544606473,-3.797417865736519,-30.508966247987832,0.07804828280063811,-0.027403275827203297,-0.014454512956686634,0.005283639435185844
10,S1,-0.04126391111576378,-0.043756605632874965,0.022241982666714954,-0.028236043601873807,0.016076871214166913,0.0020153305512763467,-0.03217851253352138,0.03576719918884912,-0.007157135008845536,3.8457608181795755,0.01718165558180125,0.00402878816663748,2.642666392434426,2.083968899698192,-0.0026263075294746105,-0.0015383316431107801,-0.002880784895771711,-0.004794801639998022
10,S2,-0.023291415229914667,-0.02609440333713784,-0.053707233542957644,-0.02525668222683783,0.009856183005998095,0.01650063012514065,3.959637027200646,0.18003565403585575,0.0001676662865838386,7.93673207643895,-2.48628879887218,0.0059884178557921865,6.440283361285101,-0.22826896903513383,0.0024259780920724465,-0.0010924296013446581,-0.0007321905694988931,-0.0033473461875023975
10,S3,-0.048056058483826075,0.037009279375897756,0.003883393328262535,0.028027430211454585,-0.0019379938036842824,0.033258966973855754,5.620963103620704,-3.5422477614684906,-0.02795388875873768,10.345283324838455,-14.974369979371751,-0.10214986112690835,8.961830699498122,-9.311455185734737,-0.06295963982139477,0.007549977894496577,-0.0025255632236473764,-0.005760177920715676
10,S4,0.013717997974348799,0.029663002175831617,0.025819926982952282,0.07137941995200689,0.0002565440455678243,-0.027021144449605586,10.657054205214349,-15.866263053395516,-0.11512839207734653,7.99191570663141,-28.593091383735647,-0.13014283256091985,7.117282879709794,-20.146733531369865,-0.12500008523469708,0.0008051407217001152,-0.0018208595905617126,-0.0080983132914975
10,S5,0.008261761933715065,0.03345360376349057,-0.006814605725525561,0.006447754997271156,0.013246040413787389,-0.04144709414205732,1.9986667854981826,-24.168434118348088,-0.04432168841570604,-10.073722686344437,-36.250382242590064,0.11078460826272536,-4.084897922939163,-30.344931773209005,0.03443209087909414,-0.006749379855646439,0.006089848879207429,-0.010117774379214965
11,S1,-0.012082750052881872,-0.041172305606679054,0.028400350433522927,0.006559994330150788,0.012532850765839116,0.014456278446291075,-0.006468157067164437,0.015550485638114309,0.004018285613976834,3.871476101316031,-0.005218219952662731,0.0030234283934722755,2.6695297163166454,2.0622401558512338,-0.0025220116451467444,-0.0028409508789079487,0.000264147232144065,-0.005355177398285426
11,S2,0.0145688288378444,-0.02267308572019271,-0.013291280789545624,-0.020564116505904093,0.00019503320919626806,-0.00523617513397338,4.024884183934548,0.16151476117623814,0.015577719649506463,7.999992925926316,-2.507766410565876,0.022893150168326173,6.50522507796108,-0.2486461537843085,0.014541737799032615,-0.004463568892467318,0.0011462667154561288,-0.00409426555439488
11,S3,0.05741662798918207,-0.015651059347562415,0.00843933945024839,0.004101226834529425,-0.010924412407418855,-0.028045011935172476,5.680749532464209,-3.542509637396896,0.05897726151623329,10.443115066682688,-14.958723478730679,0.14876059753644902,9.04081066676751,-9.300508372423234,0.10158877615136856,-0.009031330524700187,0.0027784403400118365,-0.0024327343458141843
11,S4,-0.021778295709131965,-0.011098094098366072,0.013632729953768642,0.009529242779727281,-0.04643287420716944,-0.030485304461515646,10.766238258887196,-15.807355000892702,0.14735727349253921,8.142512912093295,-28.542404732823492,0.24696465193816755,7.240406050244242,-20.09921051800259,0.17881290493385443,-0.007984202129148953,-0.0008192723809153312,-0.004841186023211987
11,S5,-0.04619695036785268,0.039969785523900125,-0.002682764577485963,-0.029075813687961083,-0.04728874854269312,-0.0086356067285556,2.110581838640945,-24.151285616404145,0.07250777779233687,-9.91347174095047,-36.2822304711399,0.023228507556628586,-3.948271875180711,-30.352474813042285,0.04742347975700363,0.0028604462214414437,-0.001207528616921503,-0.00608861411728028
12,S1,0.004666450736131567,0.010469328513295722,0.027115529250054893,0.015596736568447418,0.01662599240567541,-0.01660985016128756,0.020452372472958735,0.008156542101037554,-0.010364623316152451,3.8983598760761065,0.0016931557817423896,0.01562803210214267,2.6888387618547998,2.0647107606569937,0.005282200688912459,-0.0010806112148540527,-0.006701745049146202,-0.0016703149105446824
12,S2,-0.02693145443011895,0.005733169294579472,-0.008182875446431023,0.005243684897650677,0.006089761014022038,0.022260779867974676,4.048348060518119,0.15325911917345228,0.0018745544037450622,8.027520182306016,-2.509929267849169,0.016768862505771025,6.529290707210965,-0.25309067419883535,0.01316301076407989,0.0016025929807616998,-0.004809465735111574,-0.0025552303822671874
12,S3,-0.04456671088097351,0.007569542278145858,0.05427074204232923,0.07996045603027084,-0.06958151000190603,-0.0016511099655793474,5.670168108584068,-3.5779284424234605,0.003633582406262279,10.321701071372166,-15.038849653642881,-0.16563273531991876,8.974261087664768,-9.367850619295023,-0.07476776554461027,0.017836084444140574,-0.007342084901353098,-0.012165039776034938
12,S4,0.02103627832109767,0.002310117181654601,0.001795788230021896,0.02286757303319447,-0.010639222711101253,-0.003275890928861091,10.611941477927132,-15.893597836036317,-0.15438144635725518,7.895419252249856,-28.606700211266542,-0.4243499525151342,7.054983044044654,-20.158367626172524,-0.2652477477021627,0.019639487741906995,-0.007552751441725053,-0.012217389686576707
12,S5,-0.004626889023146334,0.028025122442936135,0.003973549910453484,0.059630710893086185,0.06942603926613322,0.0010261271448349255,1.956312948591742,-24.090941304817846,-0.264841600217147,-10.118553344226669,-36.17104698678831,-0.3584723803205461,-4.128516303654338,-30.266509943545227,-0.31269512022649326,0.007612512469978372,-9.972783812640395e-05,-0.010284031838568112
13,S1,-0.03108452185406259,-0.0091217575079219,-0.012160957921105477,0.060316280520184035,0.0040878595800485865,0.003434274040816323,0.002810411188447592,-0.051162554814902846,-0.009808939591403398,3.880754612024095,-0.07196310504558977,-0.009473804884223055,2.6788265355549865,1.995512460521158,-0.007554226877088812,0.0009820100109433055,-8.905351608884324e-05,-0.005363714226296272
13,S2,0.006138844914326606,-0.06661323279118188,0.030256712949673727,-0.021106596780572126,-0.02027977426387621,-0.008789698682757035,4.048846964294909,0.12244055984436236,0.026594114326295028,8.011360802238444,-2.565428158411513,0.005361179354517773,6.527215199156016,-0.2993209212425817,0.015098658581130789,0.001397860576367711,0.00440330515457937,-0.008777306910528736
13,S3,0.003763688055950936,0.027871252553843085,0.033228512398439145,0.017855916796795265,-0.039865590882302064,-0.001809911274148434,5.689070425850556,-3.529032052593557,0.0348052160460493,10.365917266129602,-14.980116391759248,-0.09897105197686626,9.005970872959379,-9.31172776662915,-0.035747621201345406,0.010384877330411562,0.003189033858557017,-0.00988251668803258
13,S4,-0.02593240566931075,-0.027093330989049664,0.03849929310809255,-0.01891504456784744,0.029735102520313684,-0.0022140070163577286,10.72389925492017,-15.850543601360327,-0.14677238389063285,7.996332918557535,-28.56408012629788,-0.1882321212275006,7.163211110385491,-20.113640876003377,-0.14402205642096425,0.004570189616943158,0.006323044363137831,-0.01299466673545504
13,S5,-0.0034410278876284457,-0.02356114432417168,0.020443181723948253,-0.03675892399543992,-0.03449897527883621,-0.019349960567000803,2.0981947035862483,-24.09449636434242,0.026376985316108978,-10.003465509137511,-36.14808130677221,-0.0056563006282983955,-4.000333440595817,-30.256700223069647,0.009552060159094211,0.007726776064067657,0.005129277844332248,-0.01249712189974206
14,S1,-0.022512110188307524,-0.01349711289109559,0.002969720793201684,-0.028436474027449227,-0.010002977710855628,-0.03932568645151921,-0.02173503986572294,0.022214482336527855,0.001814205994809336,3.856198760932648,0.01970117709390124,0.024333529303108115,2.6445383821099573,2.0814848551798804,0.02018730577958506,0.0014040568048400246,-0.0058074296479289885,-0.0006440200596728097
14,S2,-0.013513984804620334,-0.01309879963958721,-0.03543318487286032,0.04155051974402595,-0.023769824251545835,-0.020639880509729668,3.9820182742454593,0.13331809923377683,0.03696192835052062,7.961979934070117,-2.5286518334287806,0.057608088435347635,6.463057671290327,-0.27227484217082965,0.05314451757464522,0.00264935993566177,-0.006951248721035278,-0.002245187299695353
14,S3,-0.00869526748028662,0.0016711099902216185,0.017111720531948902,0.01452657354277106,0.010130904690293091,-0.016119323653400377,5.655548311708531,-3.58428477099585,0.0044576922500541745,10.394384249664967,-15.010436568749666,0.07238447503717552,9.003706789780775,-9.349212418227477,0.0471194772267223,-0.0022901096219403888,-0.00876986138101547,-0.0044558218809258665
14,S4,0.019632414739143372,0.020145122618030836,-0.032561095949566875,-0.016904329625331557,0.020407093580846074,-0.00012102922851391751,10.722164198560606,-15.806212602274504,0.0532513423358832,8.15220765947537,-28.552471897668077,0.11279428319485747,7.214535630148383,-20.11307255616973,0.05552369619640185,-0.006032570881652595,-0.006763670561321307,-0.000608381665051429
14,S5,0.015213156243195773,-0.018746619287370665,0.008220446854706997,-0.008368088917411757,-0.020001506987387514,0.022234690215302947,2.1190515790048288,-24.189357198896765,0.0037812774252535333,-9.834937298339264,-36.38851026614303,-0.147646468479354,-3.9039945328379906,-30.424915065862006,-0.0724986173243124,-0.0001922371567674166,-0.012865739833607866,-0.0004067455735623488
